Disease	genes
Reifenstein syndrome	AR
Renal adysplasia	UPK3A
Renal agenesis	"c(\FRAS1\"", \""FREM2\"", \""GDNF\"", \""RET\"")"""
Renal agenesis / hypodysplasia	RET
Renal and ureteric cancer	MSH2
Renal cancer	"c(\CDKN2A\"", \""CDKN2B\"", \""KDM6A\"")"""
"Renal carcinoma, association with"	HIF1A
Renal cell carcinoma	"c(\BAP1\"", \""FH\"", \""FLCN\"", \""MSH2\"", \""SDHB\"", \""TMEM127\"")"""
"Renal cell carcinoma, reduced risk, association with"	GEMIN4
Renal cysts	PKD1
Renal cysts and diabetes	HNF1B
Renal dysfunction & renal blastema	WT1
"Renal function in diabetes, association with"	IGFBP1
Renal glucosuria	SLC5A2
Renal hypodysplasia	"c(\BMP4\"", \""DACH1\"", \""EYA1\"", \""HNF1B\"", \""ITGA8\"", \""PAX2\"", \""SIX1\"", \""SIX2\"", \""UPK3A\"", \""WNT4\"")"""
Renal hypoplasia	"c(\PAX2\"", \""pax2tvc\"")"""
Renal hypouricaemia	SLC2A9
Renal insufficiency	UMOD
Renal lithiasis & decreased kidney phosphate reabsorption	SLC9A3R1
Renal malformation	EYA1
Renal tract malformation	HNF1B
Renal tubular acidosis	ATP6V1B1
Renal tubular acidosis & hearing loss	ATP6V1B1
"Renal tubular acidosis, sensorineural deafness"	ATP6V1B1
Renal tubular dysgenesis	"c(\ACE\"", \""AGT\"", \""AGTR1\"", \""REN\"")"""
"Renal tubular dysgenesis, transient"	ACE
Renal-coloboma syndrome	PAX2
Renal-hepatic-pancreatic dysplasia	NPHP3
Renpenning syndrome	PQBP1
Reproductive difficulties	AURKB
Resistance to paclitaxel therapy	TEKT4
"Resistance to Trypanosoma brucei rhodesiense parasite, association with"	APOL1
Resistant partial seizures	DCX
Respiratory chain deficiency	PNPT1
"Respiratory chain deficiency, combined"	ATP5A1
"Respiratory disease, aspirin-exacerbated"	"c(\DCDC2\"", \""HLA-DPB1\"")"""
"Respiratory disease, aspirin-exacerbated, association with"	TSC1
"Respiratory disease, aspirin-exacerbated, reduced risk"	KRT75
Respiratory distress	ABCA3
Respiratory distress syndrome	ABCA3
"Respiratory distress, neonatal"	"c(\ABCA3\"", \""NKX2-1\"")"""
Respiratory failure	MAPT
"Respiratory failure, neonatal"	SFTPC
Respiratory symptoms of cystic fibrosis	CFTR
"Respiratory/pancreatic disease, association with"	CFTR
Response to cigarette smoke extract & shear stress	AQP5
Response to statins	SLCO1B1
Restless legs syndrome	"c(\ATRN\"", \""MEIS1\"", \""PCDHA3\"", \""WWC2\"")"""
Restrictive dermopathy	ZMPSTE24
Reticular dysgenesia	AK2
Reticulate acropigmentation of Kitamura	ADAM10
Retinal degeneration	"c(\ABCA4\"", \""CDHR1\"", \""CERKL\"", \""GUCA1A\"", \""RDH5\"")"""
"Retinal degeneration in ciliopathies, association with"	RPGRIP1L
"Retinal degeneration, association with"	SP4
"Retinal degeneration, autosomal recessive"	AIPL1
"Retinal degeneration, late-onset"	"c(\AIPL1\"", \""C1QTNF5\"")"""
Retinal disease	"c(\ABCA4\"", \""SLC24A1\"", \""SLC24A2\"")"""
"Retinal disorder, X-linked"	CACNA1F
Retinal dysfunction	RGS9
Retinal dystrophy	"c(\ABCA4\"", \""BEST1\"", \""CDHR1\"", \""CRB1\"", \""EYS\"", \""FAM161A\"", \""ITM2B\"", \""MERTK\"", \""PDE6B\"", \""PRPH2\"", \""RDH12\"", \""RPE65\"", \""TTLL5\"", \""USH2A\"")"""
"Retinal dystrophy, autosomal dominant"	GUCA1B
"Retinal dystrophy, autosomal recessive"	RPE65
"Retinal dystrophy, childhood onset"	RPE65
"Retinal dystrophy, early onset"	OTX2
"Retinal dystrophy, early-onset"	"c(\CLN3\"", \""CRB1\"", \""LCA5\"", \""LRAT\"", \""RDH12\"")"""
"Retinal dystrophy, early-onset severe"	LRAT
"Retinal dystrophy, severe, childhood onset"	RPE65
"Retinal dystrophy, severe, early-onset"	ADAMTS18
Retinal pigmentosa	RDH12
Retinal-renal ciliopathy	SDCCAG8
"Retiniitis pigmentosa, juvenile"	SPATA7
Retinitis pigmentosa	"c(\ABCA4\"", \""ABHD12\"", \""ARL6\"", \""BBS5\"", \""BBS7\"", \""BEST1\"", \""C2orf71\"", \""C8orf37\"", \""CA4\"", \""CDHR1\"", \""CEP290\"", \""CERKL\"", \""CLN3\"", \""CNGA1\"", \""CNGB1\"", \""CRB1\"", \""CRX\"", \""CYP4V2\"", \""DFNB31\"", \""EMC1\"", \""EYS\"", \""FAM161A\"", \""FSCN2\"", \""GPR125\"", \""GPR98\"", \""GRK1\"", \""GUCA1B\"", \""GUCY2D\"", \""IDH3B\"", \""IMPDH1\"", \""KLHL7\"", \""LRAT\"", \""MAK\"", \""MERTK\"", \""MPDZ\"", \""MYO15A\"", \""NPHP4\"", \""NR2E3\"", \""NRL\"", \""PDE6A\"", \""PDE6B\"", \""PDE6G\"", \""PITPNM3\"", \""PRCD\"", \""PRKCG\"", \""PROM1\"", \""PRPF3\"", \""PRPF31\"", \""PRPF8\"", \""PRPH2\"", \""RBP3\"", \""RDH12\"", \""RGR\"", \""RHO\"", \""RLBP1\"", \""ROM1\"", \""RP1\"", "
"\""RP1L1\"", \""RP9\"", \""RPE65\"", \""RPGRIP1\"", \""SAG\"", \""SEMA4A\"", \""SLC7A14\"", \""SPATA7\"", \""TOPORS\"", \""TTC8\"", \""TULP1\"", \""USH1C\"", \""ush1cpst\"", \""USH2A\"", \""VCAN\"")"""	
Retinitis pigmentosa / choroideremia	RPE65
Retinitis pigmentosa / cone-rod degeneration	CRB1
Retinitis pigmentosa / leber congenital amaurosis	CRB1
Retinitis pigmentosa & cone-rod dystrophy	orf15
Retinitis pigmentosa & hearing loss	USH1C
Retinitis pigmentosa & nanophthalmos	CRB1
Retinitis pigmentosa & retinal telangiectasia	CRB1
Retinitis pigmentosa 12	CRB1
"Retinitis pigmentosa, association with"	RHO
"Retinitis pigmentosa, atypical"	"c(\GUCA1A\"", \""GUCA1B\"")"""
"Retinitis pigmentosa, autosomal dominant"	"c(\ABCA4\"", \""CA4\"", \""CNGB1\"", \""FSCN2\"", \""NR2E3\"", \""NRL\"", \""PDE6A\"", \""PRPF31\"", \""PRPF4\"", \""PRPF6\"", \""RHO\"", \""RIMS1\"", \""RLBP1\"", \""RP1\"", \""SNRNP200\"")"""
"Retinitis pigmentosa, autosomal recessive"	"c(\ABCA4\"", \""ARL2BP\"", \""C2orf71\"", \""CNGA1\"", \""CNGB1\"", \""CRB1\"", \""DHDDS\"", \""EYS\"", \""FAM161A\"", \""FSCN2\"", \""GPR125\"", \""IMPG2\"", \""KIAA1549\"", \""MERTK\"", \""NR2E3\"", \""PDE6A\"", \""PDE6B\"", \""PROM1\"", \""RBP3\"", \""RD3\"", \""RDH12\"", \""RHO\"", \""RLBP1\"", \""RP1\"", \""SAG\"", \""ttc8r\"", \""TULP1\"", \""USH2A\"", \""ZNF513\"")"""
"Retinitis pigmentosa, autosomal recessive/Leber congenital amaurosis"	"c(\EYS\"", \""RD3\"")"""
"Retinitis pigmentosa, early-onset"	"c(\RP1\"", \""TULP1\"")"""
"Retinitis pigmentosa, early-onset / leber congenital amaurosis"	CRB1
"Retinitis pigmentosa, early-onset with macular coloboma"	DHX38
"Retinitis pigmentosa, juvenile-onset"	"c(\RDH12\"", \""RPE65\"")"""
"Retinitis pigmentosa, modifier of"	"c(\IQCB1\"", \""RPGRIP1L\"")"""
"Retinitis pigmentosa, nanophthalmos & optic disc drusen"	CRB1
"Retinitis pigmentosa, nonsyndromic"	"c(\BBS1\"", \""CLRN1\"")"""
"Retinitis pigmentosa, recessive, no hearing loss"	USH2A
"Retinitis pigmentosa, X-linked"	"c(\orf15\"", \""RP2\"", \""RPGR\"", \""rpgr11a\"")"""
Retinitis punctata albescens	"c(\RLBP1\"", \""RPGRIP1\"", \""RRH\"")"""
Retinoblastoma	RB1
"Retinoblastoma, association with"	MDM4
Retinol deficiency	RBP4
Retinopathy	ABCA4
Retinopathy of prematurity	"c(\FZD4\"", \""LRP5\"", \""NDP\"")"""
"Retinopathy of prematurity, increased risk"	FZD4
"Retinoschisis, X linked"	RS1
"Retinoschisis, X linked juvenile"	RS1
Rett syndrome	"c(\CDKL5\"", \""FOXG1\"", \""MECP2\"", \""mecp2e1\"")"""
"Rett syndrome, atypical"	"c(\CDKL5\"", \""MECP2\"")"""
"Rett syndrome, preserved speech variant"	MECP2
"Rett syndrome, variant, with autism"	MECP2
"Rett syndrome, variant, with infantile spasms"	CDKL5
Reynolds syndrome	LBR
Rh-deficiency syndrome	RHAG
Rh-null syndrome	RHAG
Rhabdoid predisposition syndrome	SMARCB1
Rhabdoid tumour	SMARCB1
Rhabdoid tumour predisposition syndrome	SMARCA4
Rhabdomyolysis	"c(\LPIN1\"", \""LPIN3\"")"""
Rhabdomyolysis episodes	RYR1
"Rhabdomyolysis, fever-induced"	RYR1
Rhabdomyosarcoma	TP53
RhD blood group variant	RHD
RhD blood group variant (RhDel)	RHD
RhD blood group variant (RhDVII)	RHD
Rhegmatogenous retinal detachment	COL2A1
"Rhegmatogenous retinal detachment, reduced risk"	CERS2
Rhesus blood group variant	RHCE
Rhesus negative blood group	RHD
Rheumatoid arthritis	LRRK2
Rheumatoid arthritis and recurrent fever	NLRP3
"Rheumatoid arthritis, association with"	"c(\LGALS8\"", \""MICA\"", \""PADI4\"", \""PTPN22\"", \""TAGAP\"", \""TAP2\"", \""TNFRSF14\"")"""
"Rheumatoid arthritis, increased risk"	PLB1
"Rheumatoid arthritis, juvenile, association with"	TAPBP
"Rheumatoid arthritis, reduced risk"	CD2
"Rheumatoid arthritis, seronegative, association with"	HLA-DRB1
"Rheumatoid arthritis, seropositive, reduced risk"	HLA-A
"Rheumatoid arthritis, susceptibility to, association with"	"c(\NFKBIE\"", \""RTKN2\"")"""
"Rheumatoid arthritis, susceptibility, association"	"c(\BTLA\"", \""BTNL2\"", \""HLA-B\"", \""HLA-DPB1\"", \""LGALS3\"")"""
Rhizomelic chondrodysplasia punctata	PEX7
"Rhizomelic chondrodysplasia punctata, type 2"	GNPAT
"Rhizomelic chondrodysplasia punctata, type 3"	AGPS
RHOH deficiency	RHOH
RHS/AEC-like syndrome	tp63dn
Riboflavin responsive complex 1 deficiency	ACAD9
Ribonuclease L deficiency	RNASEL
Ribose-5-phosphate isomerase deficiency	RPIA
Richieri-Costa-Pereira syndrome	EIF4A3
"Richter syndrome, increased risk, association with"	LRP4
"Rickets, hypophosphataemic"	"c(\ENPP1\"", \""PHEX\"")"""
"Rickets, hypophosphataemic, autosomal dominant"	FGF23
"Rickets, hypophosphataemic, autosomal recessive"	"c(\DMP1\"", \""ENPP1\"")"""
"Rickets, vitamin D dependent, type I"	CYP27B1
"Rickets, vitamin D dependent, type IA"	CYP27B1
"Rickets, vitamin D dependent, type II"	VDR
"Rickets, vitamin D resistant"	VDR
"Rickets, vitamin D resistant, with alopecia"	VDR
"Rickets, vitamin D resistant, without alopecia"	VDR
Rieger anomaly	FOXC1
"Rieger anomaly, with glaucoma"	FOXC1
Rieger syndrome	PITX2
Rigid spine muscular dystrophy 1	SEPN1
Ring dermoid of the cornea	PITX2
Rippling muscle disease	CAV3
Rippling muscle disease & toe walking	CAV3
RNF168 deficiency	RNF168
Roberts syndrome	ESCO2
Robin sequence	COL11A2
Robinow syndrome	ROR2
"Robinow syndrome, autosomal dominant"	WNT5A
"Robinow syndrome, autosomal recessive"	ROR2
"Robinow syndrome, recessive with brachydactyly type B"	ROR2
Rod and cone photoreceptor degeneration	CA4
Rod-cone dystrophy	"c(\MERTK\"", \""RPE65\"")"""
"Rod-cone dystrophy, autosomal recessive"	KIZ
"Rod-cone dystrophy, early-onset"	CRB1
Rokitansky-Kuster-Hauser syndrome	WNT4
Rolandic epilepsy	GRIN2A
"Rolandic epilepsy, bilateral perisylvian polymicrogyria"	SRPX2
"Rolandic epilepsy, oral dyspraxia, mental retardation"	SRPX2
Romano-Ward syndrome	KCNQ1
Rosenberg-Chutorian syndrome	PRPS1
Rothmund-Thomson / RAPADILINO syndrome	RECQL4
Rothmund-Thomson syndrome	"c(\RECQL4\"", \""USB1\"")"""
Rotor syndrome	SLCO1B1
Roussy-Levy syndrome	"c(\MPZ\"", \""PMP22\"")"""
"Rubella vaccine-induced immune response, association with"	"c(\MAVS\"", \""TRIM22\"")"""
Rubinstein-Taybi syndrome	"c(\CREBBP\"", \""EP300\"")"""
Russell-Silver syndrome	GRB10
S-adenosylhomocysteine hydrolase deficiency	AHCY
"Saccharin taste sensitivity, association"	TAS2R31
Sacral agenesis	MNX1
"Sacral agenesis, ossification of vertebral bodies and persistent notochordal canal"	T
Sacsin-related ataxia	SACS
Saethre-Chotzen syndrome	TWIST1
Salla disease	SLC17A5
Salt and Pepper syndrome	ST3GAL5
Salt-losing tubulopathy	"c(\CLCNKB\"", \""KCNJ1\"", \""SLC12A1\"", \""SLC12A3\"", \""WNK1\"")"""
Samaritan myopathy	RYR1
Sandhoff disease	HEXB
SANDO	POLG
SANDO with dopamine-agonist responsive parkinsonism	POLG
Sanfilippo syndrome A	SGSH
Sanfilippo syndrome B	NAGLU
Saposin C deficiency	PSAP
"Sarcoidosis, early onset"	NOD2
"Sarcoidosis, increased risk, association with"	"c(\IFNA10\"", \""IFNA17\"")"""
"Sarcoidosis, susceptibility to"	CFTR
"Sarcoidosis, susceptibility, association with"	HLA-DRB1
Sarcoma	"c(\CDKN2A\"", \""TP53\"")"""
"Sarcoma, adult-onset"	TP53
Sarcosinemia	SARDH
SC null allele	ERMAP
SC Phocomelia	ESCO2
Scalp-ear-nipple syndrome	KCTD1
Scapuloperoneal muscular dystrophy & dropped head fibres	VCP
Scapuloperoneal myopathy	FHL1
Scapuloperoneal spinal muscular atrophy	TRPV4
Scheie syndrome	IDUA
Schimke immuno-osseous dysplasia	SMARCAL1
Schinzel-Giedion syndrome	SETBP1
"Schizencephaly, bilateral"	COL4A1
"Schizencephaly, unilateral"	COL4A1
Schizoaffective disorder	"c(\CALR\"", \""PRNP\"", \""RBP3\"")"""
"Schizoaffective disorder, association with"	COMT
Schizophrenia	"c(\ABCA13\"", \""ABHD12\"", \""ABLIM1\"", \""ACCSL\"", \""ACO1\"", \""ACO2\"", \""ACSL4\"", \""ACSL5\"", \""ACTA2\"", \""ACTL7B\"", \""ACTN1\"", \""ADAMTS1\"", \""ADAMTS10\"", \""ADAMTS17\"", \""ADAMTS3\"", \""ADAMTS6\"", \""ADCY9\"", \""AK9\"", \""AKAP9\"", \""AKT1\"", \""AKTIP\"", \""ALAS1\"", \""ALCAM\"", \""ALDH16A1\"", \""ALDH1L2\"", \""ALDH5A1\"", \""ALMS1\"", \""ALOX15\"", \""AMZ1\"", \""ANAPC5\"", \""ANK1\"", \""ANKRD22\"", \""ANKRD50\"", \""ANKS1B\"", \""AOX1\"", \""AP3D1\"", \""APOL5\"", \""APP\"", \""ARAP1\"", \""ARHGEF11\"", \""ARHGEF15\"", \""ARID1B\"", \""ARID2\"", \""ARSE\"", \""ASAP1\"", \""ASAP2\"", \""ASH1L\"", \""ASTL\"", \""ASXL1\"", \""ATP1A2\"", \""ATP6V1H\"", \""AUTS2\"", \""AXL\"", "
"\""BAIAP2\"", \""BLNK\"", \""BRSK1\"", \""BSND\"", \""BTNL2\"", \""BZRAP1\"", \""C14orf28\"", \""C20orf197\"", \""C5orf42\"", \""C6orf222\"", \""C7orf60\"", \""C9orf114\"", \""CA10\"", \""CABIN1\"", \""CACNA1B\"", \""CACNA1C\"", \""CACNA1I\"", \""CACNA1S\"", \""CACNA2D2\"", \""CACNB4\"", \""CAMK2A\"", \""CAPN15\"", \""CAPN5\"", \""CAPN9\"", \""CBR4\"", \""CBX5\"", \""CBX8\"", \""CCDC136\"", \""CCDC30\"", \""CCDC47\"", \""CCT8L2\"", \""CD14\"", \""CD163\"", \""CD163L1\"", \""CDCA7\"", \""CDCA7L\"", \""CDH5\"", \""CDIP1\"", \""CELSR2\"", \""CELSR3\"", \""CEP164\"", \""CEP290\"", \""CERK\"", \""CES4A\"", \""CHD8\"", \""CHEK2\"", \""CHMP2A\"", \""CHSY1\"", \""CIC\"", \""CLEC16A\"", \""CLEC3A\"", \""CLNS1A\"", "	
"\""CLPX\"", \""CLSPN\"", \""CLTCL1\"", \""CMPK2\"", \""CNDP2\"", \""CNNM3\"", \""COG7\"", \""COL15A1\"", \""COL27A1\"", \""COX4I1\"", \""CR1L\"", \""CRYBG3\"", \""CSMD2\"", \""CTNNA2\"", \""CUL3\"", \""CUZD1\"", \""CYFIP1\"", \""DAGLB\"", \""DCDC5\"", \""DCHS2\"", \""DCST1\"", \""DGCR2\"", \""DICER1\"", \""DISC1\"", \""DLG1\"", \""DLGAP1\"", \""DLGAP3\"", \""DLL4\"", \""DMD\"", \""DNAH1\"", \""DNAJC6\"", \""DNASE1L2\"", \""DNMT1\"", \""DPEP2\"", \""DPM1\"", \""DPYD\"", \""DTX1\"", \""DUOXA1\"", \""DUSP15\"", \""DVL1\"", \""EEF2K\"", \""EFTUD2\"", \""EGFL7\"", \""EIF4ENIF1\"", \""EMC1\"", \""EMR1\"", \""EP300\"", \""EPB41L1\"", \""EPC1\"", \""EPPK1\"", \""EPYC\"", \""ERBB2\"", \""ERF\"", \""ESCO2\"", \""ESPN\"", "	
"\""ESR2\"", \""EVI5L\"", \""EXD3\"", \""EXTL1\"", \""FABP4\"", \""FADS2\"", \""FAM160B1\"", \""FAM160B2\"", \""FAM83C\"", \""FARSA\"", \""FAT4\"", \""FBXL18\"", \""FBXL19\"", \""FBXO31\"", \""FBXO39\"", \""FBXO45\"", \""FCGR3B\"", \""FIBIN\"", \""FILIP1\"", \""FKBPL\"", \""FN1\"", \""FN3KRP\"", \""FOXRED1\"", \""FRY\"", \""FSD1L\"", \""GAP43\"", \""GDPD5\"", \""GFOD1\"", \""GIT1\"", \""GLI2\"", \""GLI3\"", \""GLIPR1L2\"", \""GLS\"", \""GNB2\"", \""GNB5\"", \""GRID2\"", \""GRIN2A\"", \""GRIN3A\"", \""GRM1\"", \""GRM5\"", \""GTF3C2\"", \""GXYLT2\"", \""HAUS6\"", \""HAUS8\"", \""HIF1A\"", \""HIST1H2BE\"", \""HIST1H4I\"", \""HIVEP1\"", \""HIVEP3\"", \""HPS3\"", \""HSPA8\"", \""HTATSF1\"", \""HTR2A\"", \""HTR3A\"", "	
"\""HUWE1\"", \""IER2\"", \""IFNAR2\"", \""IGSF22\"", \""ikbiptv2\"", \""IL36B\"", \""ILVBL\"", \""INO80\"", \""INSRR\"", \""INTS1\"", \""INTS5\"", \""INTS6\"", \""IQSEC2\"", \""IQSEC3\"", \""IRS4\"", \""ITGA3\"", \""ITM2C\"", \""ITPR1\"", \""ITSN1\"", \""JARID2\"", \""KCNA1\"", \""KCNH6\"", \""KCNQ5\"", \""KCNU1\"", \""KCTD6\"", \""KIAA1109\"", \""KIAA1244\"", \""KIAA2018\"", \""KIF13B\"", \""KIF14\"", \""KIF17\"", \""KIF18A\"", \""KIF1A\"", \""KIF6\"", \""KLHL20\"", \""KMT2C\"", \""KRT15\"", \""KRT20\"", \""KRT25\"", \""KRT82\"", \""KXD1\"", \""KYNU\"", \""LAMA2\"", \""LAMA4\"", \""LDLRAD4\"", \""LENG1\"", \""LHX6\"", \""LIMD1\"", \""LIPK\"", \""LLGL2\"", \""LPAR3\"", \""LPHN2\"", \""LRP1B\"", \""LRP4\"", \""LRP5\"", "	
"\""LSM3\"", \""LUZP1\"", \""MAGT1\"", \""MAMDC4\"", \""MAML2\"", \""MAPK8\"", \""MBP\"", \""MDM1\"", \""MECP2\"", \""MED29\"", \""METTL14\"", \""MGME1\"", \""MIOS\"", \""MKI67\"", \""MKL2\"", \""MPG\"", \""MRC2\"", \""MTG2\"", \""MUC17\"", \""MUC5B\"", \""MUC6\"", \""MYADML2\"", \""MYBPHL\"", \""MYH11\"", \""MYH9\"", \""MYO18A\"", \""MYO18B\"", \""MYOF\"", \""MYOZ2\"", \""N4BP2L2\"", \""NALCN\"", \""NBEA\"", \""NCAN\"", \""NCOR2\"", \""NEB\"", \""NFASC\"", \""NIPAL3\"", \""NIPBL\"", \""NLGN2\"", \""NLRC5\"", \""NLRP1\"", \""NME8\"", \""NOS2\"", \""NOS3\"", \""NR0B2\"", \""NR4A2\"", \""NRXN1\"", \""nrxn1b\"", \""NSD1\"", \""NUMA1\"", \""NUP210\"", \""NUP37\"", \""NUP98\"", \""NVL\"", \""NXF3\"", \""NYNRIN\"", \""OBSCN\"", "	
"\""PAQR8\"", \""PAQR9\"", \""PARM1\"", \""PAX5\"", \""PBX1\"", \""PCDH10\"", \""PCDHAC2\"", \""PCM1\"", \""PCNT\"", \""PDCD11\"", \""PDE3B\"", \""pde4dipi5\"", \""PDZD2\"", \""PEX1\"", \""PHC2\"", \""PHF19\"", \""PHF7\"", \""PHLDB1\"", \""PI15\"", \""PIK3C2B\"", \""PIK3R3\"", \""PITPNM1\"", \""PLEKHA6\"", \""PLEKHH1\"", \""PLEKHH2\"", \""PLXNA1\"", \""PMFBP1\"", \""POLL\"", \""POM121C\"", \""POMT1\"", \""PPEF2\"", \""PRODH\"", \""PRRC2C\"", \""PRSS38\"", \""PRUNE2\"", \""PSAPL1\"", \""PSMD2\"", \""PSPC1\"", \""PTAFR\"", \""PTK2B\"", \""PTPN3\"", \""PTPRF\"", \""PTPRG\"", \""PTPRJ\"", \""PUF60\"", \""PYCARD\"", \""RAD54L2\"", \""RANBP6\"", \""RBBP5\"", \""RELN\"", \""RGL2\"", \""RHBDF1\"", \""RIF1\"", \""rims1tv5\"", "	
"\""RPL5\"", \""RPUSD3\"", \""RUNDC3B\"", \""RUNX3\"", \""RYR3\"", \""SAFB2\"", \""SCRN1\"", \""SEC31A\"", \""SERPINI1\"", \""SGSM2\"", \""SH3TC2\"", \""SHANK3\"", \""SHKBP1\"", \""SHOX2\"", \""SHROOM1\"", \""SLC13A1\"", \""SLC25A1\"", \""SLC25A12\"", \""SLC25A3\"", \""SLC4A10\"", \""SLC5A7\"", \""SLC6A17\"", \""SLC7A6\"", \""SLC9A3R1\"", \""SLCO1B7\"", \""SLIT2\"", \""SLIT3\"", \""SLMO2\"", \""SMAD7\"", \""SMTNL1\"", \""SND1\"", \""SNX31\"", \""SON\"", \""SORBS2\"", \""SPAG9\"", \""SPDYC\"", \""SPEG\"", \""SPTBN5\"", \""SQLE\"", \""SRCIN1\"", \""SSH2\"", \""SSPO\"", \""ST8SIA2\"", \""STAC2\"", \""STARD13\"", \""STK10\"", \""STK38L\"", \""STT3B\"", \""SULF2\"", \""SULT1B1\"", \""SYNE1\"", \""SYNGR1\"", "	
"\""syngr1c\"", \""SYP\"", \""SYVN1\"", \""TAF13\"", \""TAF1C\"", \""TAF9\"", \""TANC1\"", \""TANC2\"", \""TAS2R3\"", \""TBC1D10B\"", \""TBXA2R\"", \""TCF4\"", \""TCP11L2\"", \""TENM1\"", \""TEX15\"", \""TFAP2D\"", \""TFG\"", \""TGM2\"", \""THRAP3\"", \""TINF2\"", \""TLK2\"", \""TLR3\"", \""TLR5\"", \""TLR7\"", \""TM9SF3\"", \""TMEM219\"", \""TMEM87B\"", \""TNFAIP1\"", \""TNKS\"", \""TNRC18\"", \""TNRC6C\"", \""TONSL\"", \""TOR1AIP1\"", \""TP53I13\"", \""TPR\"", \""TRAPPC9\"", \""TRH\"", \""TRHR\"", \""TRPM1\"", \""TRPM3\"", \""TRRAP\"", \""TSHZ2\"", \""TSKS\"", \""TSNAX\"", \""TSPEAR\"", \""TSPYL2\"", \""TTC28\"", \""TTC4\"", \""TTK\"", \""ttnltv\"", \""TTPA\"", \""UACA\"", \""UFL1\"", \""UNC13A\"", \""UPF2\"", "	
"\""URB1\"", \""UTRN\"", \""VPS11\"", \""VPS13A\"", \""VPS13D\"", \""VPS39\"", \""WARS\"", \""WDR64\"", \""WIZ\"", \""WRN\"", \""XIRP2\"", \""XKR6\"", \""XKR9\"", \""XPNPEP1\"", \""XPO7\"", \""YAE1D1\"", \""YARS\"", \""YWHAZ\"", \""ZBTB45\"", \""ZC3H10\"", \""ZC3H6\"", \""ZDHHC5\"", \""ZEB1\"", \""ZFR\"", \""ZNF133\"", \""ZNF326\"", \""ZNF426\"", \""ZNF445\"", \""ZNF518B\"", \""ZNF532\"", \""ZNF536\"", \""ZNF551\"", \""ZNF607\"", \""ZNF721\"", \""ZNF77\"", \""ZP4\"")"""	
Schizophrenia / bipolar disorder	GRM1
Schizophrenia / bipolar disorder / depression	ABCA13
"Schizophrenia in females, association with"	PAWR
"Schizophrenia in males, association with"	FABP7
Schizophrenia susceptibility	RTN4R
"Schizophrenia, association with"	"c(\ADAM7\"", \""ARVCF\"", \""ATXN2\"", \""CHGB\"", \""CHL1\"", \""COMT\"", \""DAOA\"", \""DDR1\"", \""DKK2\"", \""DRD1\"", \""DRD2\"", \""GRIK3\"", \""GRIN2B\"", \""GRM7\"", \""HRH2\"", \""HTR2A\"", \""HTR5A\"", \""IMPA2\"", \""KALRN\"", \""LAMA5\"", \""NDE1\"", \""NOTCH4\"", \""NRG1\"", \""PCM1\"", \""PENK\"", \""PIP4K2A\"", \""RELN\"", \""SIGMAR1\"", \""SLC18A1\"", \""SMARCA2\"", \""STON2\"", \""SYN3\"", \""TNR\"")"""
"Schizophrenia, childhood onset"	OPHN1
"Schizophrenia, familial, association with"	AKT1
"Schizophrenia, in females, association with"	ITGA8
"Schizophrenia, increased risk"	GRIN3A
"Schizophrenia, increased risk, association with"	DISC1
"Schizophrenia, reduced risk, association with"	"c(\ADAMTSL3\"", \""PTPN21\"", \""VAV3\"")"""
"Schizophrenia, severe, increased risk, association"	NTF3
"Schizophrenia, ultra-resistant, association with"	DISC1
Schneckenbecken dysplasia	SLC35D1
Schnyder crystalline corneal dystrophy	UBIAD1
Schopf-Schulz-Passarge syndrome	WNT10A
Schwannomas	LATS1
Schwannomatosis	"c(\CABIN1\"", \""COQ6\"", \""LZTR1\"", \""SMARCB1\"")"""
"Schwannomatosis, familial"	SMARCB1
Schwartz-Jampel syndrome	HSPG2
Schwartz-Jampel syndrome type 1	HSPG2
Scianna blood group variation	ERMAP
"Sclerocornea, non-syndromic, bilateral, total"	FOXE3
Sclerosteosis	SOST
Scott syndrome	ABCA1
"Seasonal affective disorder, association with"	"c(\NPAS2\"", \""OPN4\"")"""
Sebastian syndrome	MYH9
Seckel syndrome	"c(\ATR\"", \""ATRIP\"", \""CEP152\"", \""PCNT\"")"""
Secondary amenorrhea	FSHR
"Secondary amyloidosis in the cornea, association with"	LTF
Secondary lymphoedema	GJC2
Segawa syndrome	"c(\GCH1\"", \""TH\"")"""
Seip syndrome	LMNA
Seizures	SCN4A
"Seizures, benign infantile"	"c(\KCNQ2\"", \""KCNQ3\"", \""SCN2A\"")"""
"Seizures, benign neonatal"	"c(\KCNQ2\"", \""KCNQ3\"")"""
"Seizures, benign neonatal-infantile"	KCNQ2
"Seizures, early-onset"	PNPO
"Seizures, folinic-acid responsive"	ALDH7A1
"Seizures, generalized"	KCNJ10
"Seizures, generalized tonic-clonic"	GABRG2
"Seizures, increased risk"	CACNB4
"Seizures, intellectual disability, optic atrophy, muscular hypotonia and brain abnormalities"	SCN2A
"Seizures, neonatal onset"	PNPO
"Selective tooth agenesis, association with"	AXIN2
Selenoprotein-related disease	SECISBP2
Seminoma	"c(\DICER1\"", \""DNAAF1\"")"""
Sengers syndrome	AGK
Senior-Loken syndrome	"c(\CEP290\"", \""IQCB1\"", \""TMEM67\"", \""WDR19\"")"""
Senior-Loken syndrome 5	IQCB1
Sensenbrenner syndrome	"c(\WDR19\"", \""WDR35\"")"""
Sensorimotor neuropathy with ataxia	IFRD1
